block_id,corridor_id,date,start_time,end_time,duration_min,traffic_level,train_conflict_count,block_type,existing_block,allowed_departments,status
BLK0034,COR_05,2026-09-10,03:30,06:30,180,High,3,Engineering,No,Traction|Engineering|Signal,Locked
BLK0035,COR_17,2026-09-14,11:15,15:15,240,Med,4,Signal,Yes,Traction,Booked
BLK0036,COR_08,2026-09-14,04:30,08:30,240,Low,3,Signal,No,Traction,Booked
BLK0037,COR_17,2026-09-05,19:30,21:30,120,High,0,Traction,No,Traction|Signal|Engineering,Available
BLK0038,COR_05,2026-09-16,01:30,05:30,240,High,1,Signal,No,Engineering,Booked
BLK0039,COR_01,2026-09-16,09:15,13:15,240,Med,2,Combined,No,Signal|Traction,Available
BLK0040,COR_18,2026-09-13,09:15,12:45,210,Low,1,Traction,No,Engineering|Signal|Traction,Booked
BLK0041,COR_10,2026-09-22,04:45,07:15,150,High,1,Signal,No,Traction,Booked
BLK0042,COR_13,2026-09-15,18:15,19:15,60,High,3,Signal,No,Signal,Locked
BLK0043,COR_19,2026-09-09,01:30,02:30,60,Low,1,Combined,Yes,Engineering,Available
BLK0044,COR_03,2026-09-13,19:45,21:15,90,Med,6,Combined,Yes,Signal|Traction|Engineering,Available
BLK0045,COR_01,2026-09-06,03:15,05:45,150,Med,4,Combined,Yes,Engineering|Traction|Signal,Available
BLK0046,COR_04,2026-09-24,13:15,15:15,120,Low,5,Signal,No,Engineering|Signal|Traction,Available
BLK0047,COR_07,2026-09-22,17:00,20:30,210,High,0,Signal,No,Engineering|Traction|Signal,Booked
BLK0048,COR_06,2026-09-07,01:15,02:45,90,Low,2,Engineering,Yes,Traction,Available
BLK0049,COR_08,2026-09-21,05:00,07:30,150,Low,4,Traction,No,Engineering|Signal,Booked
BLK0050,COR_04,2026-09-20,11:15,14:15,180,Med,0,Signal,Yes,Signal,Booked
BLK0051,COR_19,2026-09-10,04:15,07:15,180,Low,1,Combined,Yes,Signal|Traction,Booked
BLK0052,COR_09,2026-09-09,12:00,14:30,150,Med,5,Signal,No,Traction,Booked
BLK0053,COR_19,2026-09-24,20:30,22:00,90,Med,6,Signal,No,Signal,Locked
BLK0054,COR_03,2026-09-17,12:15,13:15,60,Low,4,Engineering,No,Engineering|Signal,Booked
BLK0055,COR_05,2026-09-15,10:30,14:30,240,High,1,Traction,Yes,Engineering|Signal,Locked
BLK0056,COR_19,2026-09-07,05:30,08:30,180,High,3,Engineering,No,Traction|Signal|Engineering,Booked
BLK0057,COR_06,2026-09-05,05:45,07:45,120,Low,5,Combined,No,Signal,Available
BLK0058,COR_05,2026-09-20,04:15,07:45,210,Low,5,Traction,Yes,Traction|Signal|Engineering,Booked
BLK0059,COR_12,2026-09-17,14:45,16:15,90,Med,4,Traction,Yes,Traction|Engineering,Available
BLK0060,COR_03,2026-09-06,09:30,12:00,150,Med,0,Signal,No,Traction,Available
BLK0061,COR_14,2026-09-13,17:00,19:30,150,Med,5,Signal,No,Traction|Engineering|Signal,Available
BLK0062,COR_18,2026-09-10,00:45,04:15,210,Med,1,Engineering,No,Traction,Locked
BLK0063,COR_12,2026-09-20,07:00,08:30,90,High,4,Traction,No,Signal|Traction,Available
BLK0064,COR_18,2026-09-07,10:15,13:45,210,High,6,Engineering,Yes,Signal|Traction,Available
BLK0065,COR_10,2026-09-24,18:15,20:45,150,High,5,Engineering,No,Signal|Engineering|Traction,Available
BLK0066,COR_04,2026-09-18,10:30,12:30,120,Low,5,Signal,No,Engineering,Available
BLK0067,COR_14,2026-09-10,02:15,05:15,180,Low,3,Engineering,Yes,Signal|Engineering|Traction,Available
BLK0068,COR_18,2026-09-13,11:15,13:45,150,High,0,Combined,No,Engineering|Traction,Booked
BLK0069,COR_04,2026-09-17,00:15,02:15,120,Low,0,Signal,No,Signal|Engineering|Traction,Booked
BLK0070,COR_16,2026-09-19,08:45,09:45,60,Med,6,Signal,No,Traction|Signal,Available
BLK0071,COR_12,2026-09-07,00:15,01:45,90,Med,6,Signal,Yes,Signal|Engineering,Available
BLK0072,COR_14,2026-09-13,09:00,11:30,150,Low,1,Signal,Yes,Signal,Locked
BLK0073,COR_04,2026-09-11,13:45,15:15,90,Med,4,Signal,Yes,Traction|Engineering|Signal,Available
BLK0074,COR_05,2026-09-16,01:15,03:15,120,Low,4,Signal,Yes,Signal,Available
BLK0075,COR_11,2026-09-13,20:15,21:45,90,Low,0,Combined,No,Engineering|Signal,Available
BLK0076,COR_02,2026-09-15,13:30,15:00,90,Low,0,Engineering,No,Engineering|Signal,Available
BLK0077,COR_09,2026-09-23,03:15,05:45,150,High,2,Traction,No,Traction,Available
BLK0078,COR_12,2026-09-21,04:30,06:30,120,Med,4,Traction,Yes,Engineering|Signal,Available
BLK0079,COR_02,2026-09-07,04:00,07:30,210,Med,5,Signal,Yes,Engineering|Traction,Locked
BLK0080,COR_07,2026-09-23,10:45,12:45,120,Med,1,Engineering,Yes,Traction|Signal,Booked
BLK0081,COR_04,2026-09-21,11:45,13:45,120,High,0,Combined,No,Engineering|Traction|Signal,Booked
BLK0082,COR_07,2026-09-08,09:00,10:00,60,Med,3,Combined,No,Engineering|Traction|Signal,Booked
BLK0083,COR_13,2026-09-16,17:45,21:45,240,Med,1,Signal,Yes,Engineering|Traction|Signal,Available
BLK0084,COR_10,2026-09-20,08:15,10:15,120,Med,4,Engineering,Yes,Traction,Available
BLK0085,COR_05,2026-09-05,20:30,22:00,90,Low,6,Engineering,No,Engineering,Available
BLK0086,COR_11,2026-09-04,20:30,22:30,120,Low,5,Traction,No,Traction|Signal,Available
BLK0087,COR_12,2026-09-05,20:00,00:00,240,Low,2,Signal,Yes,Traction,Booked
BLK0088,COR_09,2026-09-22,03:45,07:15,210,High,5,Signal,No,Signal,Available
BLK0089,COR_05,2026-09-22,20:45,00:45,240,Low,5,Combined,No,Engineering|Signal,Available
BLK0090,COR_06,2026-09-09,05:45,07:15,90,Med,0,Traction,Yes,Signal,Booked
BLK0091,COR_14,2026-09-10,02:00,03:30,90,Low,5,Combined,Yes,Engineering|Traction|Signal,Available
BLK0092,COR_02,2026-09-04,03:00,07:00,240,Low,6,Engineering,Yes,Traction|Engineering|Signal,Locked
BLK0093,COR_03,2026-09-07,17:30,21:00,210,Low,3,Combined,No,Signal|Traction,Available
BLK0094,COR_18,2026-09-05,17:30,21:00,210,Low,6,Engineering,Yes,Engineering|Signal,Available
BLK0095,COR_13,2026-09-11,00:45,02:15,90,Low,5,Traction,Yes,Signal|Engineering|Traction,Available
BLK0096,COR_12,2026-09-07,07:30,08:30,60,Low,2,Engineering,No,Engineering,Booked
BLK0097,COR_20,2026-09-09,13:30,16:30,180,Low,3,Signal,No,Signal|Traction|Engineering,Booked
BLK0098,COR_09,2026-09-12,15:30,19:00,210,High,5,Engineering,No,Traction,Available
BLK0099,COR_03,2026-09-08,12:45,15:15,150,Low,3,Traction,Yes,Engineering|Traction,Booked
BLK0100,COR_16,2026-09-15,10:45,13:15,150,Med,3,Traction,Yes,Engineering|Signal|Traction,Available
BLK0101,COR_13,2026-09-21,17:15,19:45,150,Low,5,Combined,No,Traction|Engineering|Signal,Available
BLK0102,COR_12,2026-09-04,06:00,10:00,240,Med,1,Engineering,Yes,Signal|Engineering,Booked
BLK0103,COR_07,2026-09-08,17:15,19:45,150,High,0,Signal,Yes,Traction|Engineering|Signal,Booked
BLK0104,COR_19,2026-09-17,11:00,12:00,60,Low,6,Signal,Yes,Engineering|Traction,Available
BLK0105,COR_05,2026-09-04,18:45,22:45,240,Med,3,Signal,No,Signal|Traction|Engineering,Booked
BLK0106,COR_10,2026-09-18,20:00,23:30,210,Low,0,Engineering,No,Traction,Available
BLK0107,COR_18,2026-09-16,13:45,17:15,210,Med,2,Traction,No,Engineering|Signal,Locked
BLK0108,COR_13,2026-09-20,12:15,13:45,90,Med,1,Combined,Yes,Traction|Engineering|Signal,Available
BLK0109,COR_06,2026-09-24,20:45,23:15,150,Low,2,Combined,Yes,Engineering,Available
BLK0110,COR_10,2026-09-23,10:15,11:15,60,Low,0,Engineering,Yes,Signal,Available
BLK0111,COR_09,2026-09-10,20:15,21:15,60,Low,4,Engineering,No,Engineering|Traction,Available
BLK0112,COR_13,2026-09-13,00:30,02:30,120,Med,2,Combined,No,Traction,Booked
BLK0113,COR_17,2026-09-14,13:00,16:30,210,High,1,Engineering,No,Signal|Engineering,Available
BLK0114,COR_08,2026-09-08,14:00,15:00,60,High,6,Signal,No,Traction,Available
BLK0115,COR_15,2026-09-23,20:30,23:30,180,Med,2,Traction,No,Engineering|Signal,Available
BLK0116,COR_19,2026-09-23,19:15,20:15,60,Med,3,Engineering,No,Signal,Available
BLK0117,COR_11,2026-09-06,15:45,16:45,60,Low,2,Signal,Yes,Signal|Traction|Engineering,Available
BLK0118,COR_15,2026-09-18,08:30,11:00,150,Med,1,Engineering,No,Engineering|Signal,Booked
BLK0119,COR_15,2026-09-16,13:15,17:15,240,Low,6,Traction,No,Signal|Traction|Engineering,Booked
BLK0120,COR_08,2026-09-05,19:00,22:30,210,Med,4,Engineering,Yes,Signal,Available
BLK0121,COR_08,2026-09-22,12:00,16:00,240,Low,3,Engineering,No,Traction|Signal,Available
BLK0122,COR_07,2026-09-09,03:45,06:15,150,Low,0,Traction,No,Signal|Engineering|Traction,Available
BLK0123,COR_16,2026-09-18,01:15,04:15,180,Low,1,Traction,No,Signal|Engineering|Traction,Booked
BLK0124,COR_01,2026-09-19,06:15,07:15,60,High,5,Combined,Yes,Engineering|Traction|Signal,Available
BLK0125,COR_14,2026-09-16,02:45,04:45,120,Med,5,Traction,Yes,Engineering,Booked
BLK0126,COR_06,2026-09-17,10:30,14:30,240,Low,3,Combined,No,Engineering|Signal|Traction,Locked
BLK0127,COR_18,2026-09-22,12:00,16:00,240,Med,4,Signal,Yes,Traction|Engineering|Signal,Booked
BLK0128,COR_05,2026-09-14,00:45,02:15,90,Low,2,Engineering,No,Signal|Traction|Engineering,Locked
BLK0129,COR_02,2026-09-08,20:00,22:30,150,Low,1,Combined,No,Traction,Available
BLK0130,COR_12,2026-09-15,06:00,07:30,90,High,0,Traction,No,Engineering|Signal|Traction,Available
BLK0131,COR_17,2026-09-15,11:45,15:45,240,High,2,Engineering,No,Signal|Traction,Available
BLK0132,COR_13,2026-09-23,05:45,08:45,180,Low,5,Combined,No,Traction|Engineering|Signal,Booked
BLK0133,COR_20,2026-09-07,02:00,05:30,210,High,0,Combined,No,Traction|Engineering|Signal,Available
BLK0134,COR_07,2026-09-05,09:45,13:45,240,Low,3,Combined,Yes,Engineering|Signal,Locked
BLK0135,COR_01,2026-09-18,13:45,17:45,240,High,6,Signal,No,Traction|Signal,Available
BLK0136,COR_02,2026-09-17,07:45,08:45,60,Low,1,Traction,No,Traction|Signal|Engineering,Available
BLK0137,COR_07,2026-09-22,13:45,15:15,90,Med,3,Engineering,No,Signal|Engineering|Traction,Locked
BLK0138,COR_14,2026-09-09,12:15,14:15,120,Low,5,Signal,No,Traction|Signal|Engineering,Booked
BLK0139,COR_03,2026-09-09,10:00,11:30,90,Low,0,Signal,Yes,Traction|Engineering|Signal,Available
BLK0140,COR_06,2026-09-08,14:30,18:00,210,Low,1,Traction,Yes,Traction,Booked
BLK0141,COR_09,2026-09-16,08:00,11:30,210,Low,1,Engineering,No,Engineering|Traction|Signal,Locked
BLK0142,COR_09,2026-09-07,03:30,05:00,90,High,0,Engineering,No,Engineering|Signal,Available
BLK0143,COR_03,2026-09-04,13:45,14:45,60,Low,3,Combined,No,Signal|Engineering|Traction,Available
BLK0144,COR_04,2026-09-09,18:00,21:30,210,High,2,Combined,No,Traction|Engineering|Signal,Available
BLK0145,COR_18,2026-09-12,03:00,04:30,90,Low,4,Signal,Yes,Engineering|Traction,Available
BLK0146,COR_09,2026-09-08,07:15,08:15,60,Low,1,Engineering,No,Traction|Signal|Engineering,Booked
BLK0147,COR_07,2026-09-19,13:45,16:45,180,Low,1,Traction,No,Traction,Booked
BLK0148,COR_16,2026-09-22,09:15,10:45,90,Low,3,Combined,No,Signal|Engineering,Booked
BLK0149,COR_12,2026-09-17,06:30,09:30,180,High,6,Engineering,No,Traction,Available
BLK0150,COR_13,2026-09-17,09:30,12:30,180,Low,1,Traction,No,Signal,Available
